交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2021100122001456951447217542	,210_202110019432671801260401	,2021-10-01 22:35:43 ,2021-10-01 22:35:43 ,2021-10-01 22:35:43 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-王师傅-10月01日行程   ,7.87    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021100122001456951447060665	,202110012227149502387620	,2021-10-01 22:27:15 ,2021-10-01 22:27:16 ,2021-10-01 22:27:16 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,天津地铁            ,乘车扣费                ,3.60    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021100122001456951447222299	,210_202110012016297701556317	,2021-10-01 21:50:01 ,2021-10-01 21:50:02 ,2021-10-01 21:50:02 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-朱师傅-10月01日行程   ,11.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021100122001456951446912135	,210_202110017904926401367500	,2021-10-01 20:19:50 ,2021-10-01 20:19:51 ,2021-10-01 20:19:51 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-薛师傅-10月01日行程   ,11.52   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20211001009130201010950036586360	,LC2021100116211020887229826569554588	,2021-10-01 16:21:11 ,2021-10-01 16:21:11 ,2021-10-01 16:21:12 ,支付宝网站     ,即时到账交易          ,中国工商银行          ,余额宝-转出到银行卡          ,191.00  ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
2021100122001456951446529676	,202110011559272434837620	,2021-10-01 15:59:28 ,2021-10-01 15:59:28 ,2021-10-01 15:59:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,天津地铁            ,乘车扣费                ,3.60    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021100122001156951446593355	,11120600721100130363904714416	,2021-10-01 12:39:03 ,2021-10-01 12:39:08 ,2021-10-01 13:15:46 ,淘宝        ,支付宝担保交易         ,饿了么             ,叮当快药(天津市学府花园店)      ,28.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021100122001456951446279348	,202110011208428652657620	,2021-10-01 12:08:43 ,2021-10-01 12:08:44 ,2021-10-01 12:08:44 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,天津地铁            ,乘车扣费                ,3.60    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021100122001456951446400446	,20211001093123355096	,2021-10-01 09:31:24 ,2021-10-01 09:31:25 ,2021-10-01 09:31:25 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京轨道交通路网管理有限公司  ,10月1日08:47 - 北京轨道交通扫码乘车,4.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20211001009130201010950035763756	,LC2021100106575420887229826569554597	,2021-10-01 06:57:54 ,2021-10-01 06:57:54 ,2021-10-01 06:57:55 ,支付宝网站     ,即时到账交易          ,中国工商银行          ,余额宝-转出到银行卡          ,1425.00 ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20211001340152056951 	,                    	,2021-10-01 02:57:50 ,                    ,2021-10-01 02:57:50 ,支付宝网站     ,即时到账交易          ,华泰柏瑞基金管理有限公司    ,余额宝-2021.09.30-收益发放 ,0.18    ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20210930333450520951 	,                    	,2021-09-30 02:53:11 ,                    ,2021-09-30 02:53:11 ,支付宝网站     ,即时到账交易          ,华泰柏瑞基金管理有限公司    ,余额宝-2021.09.29-收益发放 ,0.19    ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021092922001456951445581714	,uboxFD351CE4E1834575B19B5FF18A6BD02F	,2021-09-29 15:40:40 ,2021-10-08 17:55:32 ,2022-01-09 17:56:29 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,友宝              ,待支付订单               ,0.45    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20210929009130100010950023281517	,LC2021092915073020887229826569550303	,2021-09-29 15:07:31 ,                    ,2021-09-29 15:07:31 ,支付宝网站     ,即时到账交易          ,华泰柏瑞基金管理有限公司    ,余额宝-单次转入            ,500.00  ,其他      ,交易关闭    ,0.00     ,0.00     ,                    ,         ,
20210929009130100010950022478860	,LC2021092915062220887229826569551067	,2021-09-29 15:06:22 ,2021-09-29 15:06:26 ,2021-09-29 15:06:22 ,支付宝网站     ,即时到账交易          ,华泰柏瑞基金管理有限公司    ,余额宝-单次转入            ,3000.00 ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20210929009130201010950033663102	,LC2021092911534720887229826569557246	,2021-09-29 11:53:48 ,2021-09-29 11:53:48 ,2021-09-29 11:53:49 ,支付宝网站     ,即时到账交易          ,中国工商银行          ,余额宝-转出到银行卡          ,300.00  ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20210929326718384951 	,                    	,2021-09-29 03:12:26 ,                    ,2021-09-29 03:12:26 ,支付宝网站     ,即时到账交易          ,华泰柏瑞基金管理有限公司    ,余额宝-2021.09.28-收益发放 ,0.19    ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20210928320459211951 	,                    	,2021-09-28 02:55:22 ,                    ,2021-09-28 02:55:22 ,支付宝网站     ,即时到账交易          ,华泰柏瑞基金管理有限公司    ,余额宝-2021.09.27-收益发放 ,0.19    ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021092722001456951444597917	,visionpayF57BE65608EC0CAD4F184216	,2021-09-27 15:03:03 ,2021-09-27 15:03:03 ,2021-12-29 15:03:26 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,友宝              ,智能货柜消费              ,5.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021092722001456951444248974	,21092712174158855019	,2021-09-27 12:20:39 ,2021-09-27 12:20:39 ,2021-12-29 12:21:33 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,中国科学院大学         ,雁栖一食堂三层收银           ,137.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20210927307261502951 	,                    	,2021-09-27 02:50:14 ,                    ,2021-09-27 02:50:14 ,支付宝网站     ,即时到账交易          ,华泰柏瑞基金管理有限公司    ,余额宝-2021.09.26-收益发放 ,0.21    ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
